"score","tier","company","modality","stage","outreach_difficulty","hq_city","hq_country","founded_year","total_raised_usd","last_round_type","last_round_amount_usd","last_round_date","bench_headcount","in_house_dna_synth","in_house_protein_prod","service_fit_summary","max_estimated_annual_orders","hiring_wet_lab","contact_count","contacts","confidence","recommended_pitch","rationale","brief_path"
"4","tier2_warm","Anthrogen","miniprotein_or_nanobody","seed_to_series_A","easy","San Francisco","USA","2024","4000000","Seed","4000000","2024-11","8","no","partial","DNA=high Ecoli=high CF=medium E2E=high","1000-10000","True","2","Ankit Singhal (CEO); Connor Lee (CTO)","medium","Position as 'infrastructure for protein design iteration at scale.' Emphasize: (1) We've solved cost (50/assembly, 2x cheaper than Twist); (2) We're built for the design-build-test loop you're running—1000s of constructs/year is our sweet spot; (3) Our KRX prep and Gator BLI integration reduce your internal ops friction so you can focus on model improvement and wet-lab insights; (4) We've worked with other AI biology founders (Evo, Genesis, etc.) doing multi-round design iterations. Open with 'How many DNA constructs are you synthesizing per month today?' to qualify volume; then show cost comparison and turnaround. Offer pilot: 50-unit trial at $50/ea (~$2500 total) with 3-day turnaround. Emphasize referral/relationship-building angle rather than enterprise lock-in, which fits their stage.","Strong fit on clonal-DNA (high volume, iterative protein design) and ecoli-krx-expression (aligned with scFv/miniprotein/enzyme modality, cost-sensitive). End-to-end binder workflow also well-aligned. Team is at optimal stage for outsourcing partner engagement (seed, no incumbent relationships). High wet-lab intensity and protein design focus create sustained demand. However: (1) small team size means deal size and negotiation bandwidth are limited; (2) no public customer evidence yet—Odyssey is","targets/briefs/anthrogen.md"
"4","tier2_warm","Arbor Biotechnologies","CRISPR_or_guide","series_C_plus","moderate","Cambridge","United States","2016","304000000","Series C","73900000","2025-03","30","no","partial","DNA=high Ecoli=high CF=medium E2E=low","1000-10000","False","3","John Murphy (Chief Scientific Officer); David Scott (Co-founder, Head of Innovation); Devyn Smith (Chief Executive Officer)","high","Target Dr. John Murphy (CSO) or David Scott (Head of Innovation) with a focus on accelerating nuclease variant screening cycles. Pitch: (1) cost advantage on short constructs ($50 vs. $100+ incumbents) for high-volume orders, enabling broader variant libraries, (2) E. coli KRX rapid turnaround (3-5 days synthesis-to-purified-protein) to shorten iteration cycles during nuclease engineering, (3) optional Gator BLI integration for activity screening validation. Emphasize our ability to handle 10k+ annual orders without vendor lock-in. Lead with case study from similar AI-first protein design team (if available). Position as complementary to Ginkgo partnership (they focus on RT editor optimization; we enable rapid nuclease screening).","Strong fit on clonal_dna_under_2kb and ecoli_krx_expression (estimated 2,000-20,000 orders/yr combined). High technical alignment: platform relies on iterative nuclease synthesis, expression, and screening. No in-house synthesis; Ginkgo partnership signals vendor openness. Series C stage → moderate procurement friction vs. seed-stage but still relatively agile. Clinical focus (2025) may reduce discovery synthesis velocity temporarily but unlikely to eliminate it. Lacks antibody-modality mismatch","targets/briefs/arbor_biotechnologies.md"
"4","tier2_warm","Biomatter","enzyme","seed_to_series_A","easy","Vilnius","Lithuania","2018","8860000","Seed","7062000","2024-08","8","partial","partial","DNA=high Ecoli=high CF=medium E2E=low","1000-10000","True","2","Laurynas Karpus (CEO & Co-Founder); Cindy Chang (Vice President of Business Development, Biopharma)","medium","Biomatter's enzyme design platform generates high-throughput DNA variant libraries for experimental validation. Our clonal DNA synthesis at $50/assembly (vs. $100+ incumbents) and integrated KRX expression service reduce iteration cycle time and cost. We offer flexible batch sizing (10–1,000 constructs) without vendor lock-in, enabling rapid A/B testing of enzyme variants. Early case study: [6–12 month partnership showing reduced TTM and cost-per-variant]. Let's discuss how we scale your discovery pipeline to 5k–10k annual constructs while keeping R&D costs sub-$500k/year.","Strong fit on clonal DNA (<2 kb) and E. coli expression services; primary modality (enzyme) matches both DNA synthesis and protein expression offerings. High estimated annual order volume (1k–10k constructs) for iterative design cycles. Seed-stage company with young, founder-led team and high growth trajectory evident from recent funding and customer wins. No in-house DNA synthesis capability; outsourced partnerships create openings. Downside: limited public visibility on current annual throughp","targets/briefs/biomatter.md"
"4","tier2_warm","Cambrium","enzyme","seed_to_series_A","easy","Berlin","Germany","2020","12400000","Seed","","2024-11","12","no","partial","DNA=high Ecoli=medium CF=medium E2E=low","1000-10000","True","3","Mitchell Duffy (Co-founder & CEO); Charles Cotton (Co-founder, PhD Structural Biology); Pierre Salvy (Chief Technology Officer)","high","Position us as a strategic partner for Cambrium's design-build-test cycles: 'We offer cost-effective, rapid clonal DNA synthesis (<2 kb, $50/assembly) for your variant screening libraries, plus E. coli/cell-free expression when you need quick validation before CMO handoff. As you scale from NovaColl to hair care, nutraceuticals, and new materials, you'll be generating hundreds of protein designs per month—let us accelerate your discovery loops and reduce synthesis costs by 50% vs. Twist/IDT. We've worked with other AI-biology teams in your stage; we integrate seamlessly and scale with you.' Emphasize: cost parity with incumbents, speed, willingness to flex on batch sizes and turnaround, and experience with iterative biotech workflows.","Cambrium is a strong fit on clonal DNA synthesis (<2 kb, high annual volume estimated 2000-5000+ orders) and has partial fit on E. coli expression (supplementary) and cell-free (future potential). They have demonstrated product-market fit (NovaColl commercialized, revenue-generating), rapid iteration cycles (5x faster than industry), and are in the ideal company stage (seed-to-Series A with low procurement friction). Primary modality (engineered proteins/enzymes for structural materials) aligns ","targets/briefs/cambrium.md"
"4","tier1_hot","Chai Discovery","antibody","series_B","moderate","San Francisco","USA","2024","225000000","Series B","130000000","2025-12","20","unknown","partial","DNA=high Ecoli=high CF=medium E2E=high","1000-10000","True","3","Joshua Meier (CEO & Co-Founder); Jack Dent (Co-Founder); Matthew McPartlon (Co-Founder)","high","Position as the 'expression + characterization backbone' for Chai's partner ecosystem. Emphasize: (1) sub-$50 clonal DNA pricing beats incumbent SLAs by 2x (Twist/GenScript cost ≥ $100/construct); (2) express-from-clonal workflow eliminates design-to-validation cycle friction (critical as Chai scales 50→500 targets/year); (3) BLI throughput (Gator) can feed directly into Chai's ranking models for rapid iteration. Offer pilot with one pharma partner or internal targets (10–20 constructs/month) to establish baseline, then scale to platform-wide terms. Frame as co-enabling Chai's moonshot: 'turning antibody discovery into CAD.'","Chai-2 projects high-volume demand for clonal DNA (<2 kb), E. coli expression, and BLI-based end-to-end workflows over the next 12–24 months as they onboard pharma partners and scale. Bacterial expression system is core modality (nanobodies, miniproteins). Series B funding ensures capacity to outsource non-core services. Early-stage enough that vendor relationships remain fluid; late enough that they can negotiate meaningful volumes. Open-source Chai-1 + Chai-2's track record makes them a credib","targets/briefs/chai_discovery.md"
"4","tier1_hot","Cradle","enzyme","series_B","moderate","Amsterdam","Netherlands","2021","103000000","Series B","73000000","2024-11","25","no","partial","DNA=high Ecoli=high CF=medium E2E=high","10000+","True","3","Stef van Grieken (Co-founder & CEO); Sam Partovi (Chief Commercial Officer); Elise de Reus (Co-founder)","high","Position your clonal DNA service ($50/assembly, half incumbent cost) as the high-throughput synthesis partner for Cradle's protein design cycles, reducing time-to-screen. Emphasize: (a) rapid turnaround (<48h) matching Cradle's iterative cycles, (b) seamless integration with Cradle's workflow (batch submission of 100+ designs/week), (c) E. coli KRX expression add-on for validated miniproteins and nanobodies, (d) optional Gator BLI endpoint quantification for binder projects. Offer proof-of-concept with one of Cradle's active customer projects (with NDA); target Sam Partovi (CCO) and Harmen van Rossum (wet lab) for initial engagement.","Cradle is an ideal customer for clonal DNA synthesis and expression services. (1) High-volume DNA synthesis demand: iterative protein design generates 10k+ short constructs/year across customer base. (2) Bacterial expression fit: many designed proteins (enzymes, nanobodies, peptides) are E. coli-amenable; validation is partly in-house but customer demand for outsourced expression is strong. (3) Binder workflow fit: antibodies and peptides are core modalities; BLI characterization would enhance C","targets/briefs/cradle.md"
"4","tier2_warm","Diffuse Bio","miniprotein_or_nanobody","seed_to_series_A","easy","San Carlos","United States","2022","","","","","8","no","partial","DNA=high Ecoli=high CF=medium E2E=high","1000-10000","","1","Namrata Anand (CEO)","medium","Diffuse Bio is generating large libraries of AI-designed nanobodies, minibinders, and scFvs that require rapid, cost-effective DNA assembly and expression for experimental validation. Your Clonal DNA synthesis service (assembly <2 kb, $50/reaction, 50% cheaper than incumbents) plus KRX expression & purification align perfectly with Diffuse's user workflows: researchers will request 100s-1000s of designs annually, need fast turnaround for variant screening, and benefit from outsourced expression to focus on AI iteration. RamaX already covers yeast-display screening; your E. coli KRX service would enable downstream recombinant protein production for leads that pass initial binder screening. Pitch a pilot: offer discounted clonal DNA + KRX rates for Diffuse's top 5-10 binder designs per target, positioning as a seamless extension of their design-to-validation pipeline.","<cite index=""2-6"">Diffuse Bio handles a whole array of protein engineering tasks at the push of a button — from loop redesign and sequence engineering, all the way to binder design and de novo structure generation.</cite> Strong fit on miniprotein/nanobody modality (primary output), bacterial expression (minibinders/nanobodies/scFvs), and clonal DNA synthesis (<2 kb constructs). Teams using Diffuse are exactly the ICP: AI-biology teams generating many designed binder constructs for screening. Pr","targets/briefs/diffuse_bio.md"
"4","tier2_warm","Ditto Biosciences","miniprotein_or_nanobody","seed_to_series_A","easy","","","2025","","Seed","","2025-11","12","unknown","unknown","DNA=high Ecoli=high CF=medium E2E=high","1000-10000","True","2","Dennis Sun (Co-founder, Platform Lead); Emily Weiss (Co-founder, Host-Parasite Interaction Expert)","medium","Ditto's discovery engine identifies thousands of parasite protein candidates per cycle. At stage where you're validating hits, every candidate needs DNA synthesis → expression → BLI characterization. Our clonal DNA assembly ($50/construct) + E. coli KRX + Gator BLI workflow lets your team run 100–500 candidate validations per month at 50% your current cost. We've supported other AI-biology teams scaling from discovery to lead optimization. Let's align on your 6-month validation roadmap and lock in volume pricing.","Strong fit on three of four service lines (clonal DNA <2kb, E. coli KRX expression, end-to-end binder workflow). Primary modality (parasite-derived protein candidates) is well-suited to bacterial expression and rapid iteration. Team is computational + experimental, early-stage, and actively building. Funding stage (post-seed, pre-Series A) fits ideal customer profile. Main limiting factor: cannot confirm in-house capabilities or current synthesis vendor relationships; if they have in-house synth","targets/briefs/ditto_biosciences.md"
"4","tier2_warm","Earendil Labs","antibody","series_B","moderate","Middletown","United States","2021","787000000","Series Unknown","787000000","2026-03","8","no","partial","DNA=high Ecoli=high CF=medium E2E=high","1000-10000","True","2","Jian Peng (Founder & CEO); Zhenping Zhu (Co-Founder, President & Co-CEO)","high","Approach: Target Jian Peng or Zhenping Zhu via LinkedIn or CFO/COO (identify via website/LinkedIn org search) with focus on Earendil's rapid discovery iteration. Pitch: 'Earendil's platform generates 40+ programs per year—each requiring 5–20 construct variants for optimization. Our clonal DNA synthesis at $50/assembly (half incumbent cost) + direct E. coli KRX expression turnaround (48–72 hrs) accelerates your discovery cycles. Additionally, our end-to-end binder workflow with BLI quantification reduces your internal bottleneck on kinetics profiling. We're built for AI-design teams that need 100+ constructs/year.' Emphasize: Cost advantage (Twist/IDT cost parity), speed (48-72 hr turnaround), and integrated expression service that reduces friction. Offer pilot: 50–100 constructs at $50 ea + 10–20 E. coli expression batches to demonstrate quality and turnaround. Timeline: Approach now (late 2026 funding phase) before they lock vendor agreements; offer 6-month pilot to build relationship before they ramp 2027 IND submissions.","Earendil is a strong fit on multiple service lines: (1) clonal DNA synthesis (high fit, 1000–10k constructs/year), (2) E. coli KRX expression (high fit for discovery screening), (3) end-to-end binder workflow (high fit for rapid BLI profiling). Company is at Series B+ scale, actively hiring, and demonstrating wet-lab intensity. Founders visible and engaged. Main constraint: Not yet at 'tier1_hot' status because (a) company is now large enough (~$30–50M post-funding run rate) that they may self-s","targets/briefs/earendil_labs.md"
"4","tier2_warm","Elegen","enzyme","series_B","moderate","San Carlos","USA","2017","","Series B","35000000","2024-05","","yes","partial","DNA=low Ecoli=high CF=high E2E=medium","100-1000","True","4","Stephen Von Stetina (Senior Research Scientist / Founder, Asimov); Ginkgo Bioworks (contact unknown) (Customer (DNA synthesis)); Adam Fisher (Principal Scientist, Ensoma)","high","Position clonal DNA synthesis ($50/assembly for <2 kb) and E. coli KRX expression/purification as complementary offerings for Elegen's customers who are building protein libraries via AI design. Emphasize: (1) our sub-$50 cost beats Elegen's competitive vector cost when paired; (2) immediate protein production from clonal culture removes downstream optimization delays; (3) we can absorb high-volume orders (100+ constructs/month) at consistent quality/turnaround. Offer initial pilot: design 50 variant enzymes, synthesize via Elegen or your service, express in our KRX system, deliver purified protein in 3 weeks. Highlight Elegen's strong fit with Ginkgo/Asimov/Caltech ecosystem and pitch as a 'next-mile' partner for their teams who want to go from DNA→protein faster. Mention willingness to integrate via API or custom workflows (Elegen-optimized plate formats, barcoding, etc.) if volumes justify it.","Strong fit on at least two service lines (E. coli KRX expression + cell-free expression) with estimated 100–1000 constructs/year. Primary modality (enzyme design for protein engineering) aligns perfectly with short/medium-length construct needs. Elegen has proven customer traction (Ginkgo, Asimov) and is hungry for customer feedback and partnerships (evidenced by IDT deal, Nutcracker pilot). Company stage (Series B, post-PMF) makes them responsive to outreach, though not as fast as seed-stage. L","targets/briefs/elegen.md"
"4","tier2_warm","Emerald Cloud Lab","miniprotein_or_nanobody","series_B","moderate","Austin","United States","2014","151000000","Series C","","","15","no","partial","DNA=high Ecoli=high CF=high E2E=high","1000-10000","True","3","Brian Frezza (Co-founder, Co-CEO); DJ Kleinbaum (Co-founder, Co-CEO); Ben Kline (Senior Researcher)","high","Position your clonal DNA synthesis + E. coli KRX expression as a *pre-cloud-lab* stage service for ECL customers in the early variant-screening phase. ECL excels at scale-up and characterization; you excel at rapid, low-cost design iteration. Propose a pilot integration: (1) your DNA synthesis + basic expression/purification for 100s of mini variants in parallel, (2) hand-off validated hits to ECL for high-throughput characterization (BLI, functional assays) on their 200+ instrument suite. For binder discovery teams, emphasize speed and cost: 50 designed nanobodies → your service (clonal DNA + E. coli + SDS-PAGE or basic purification) → pre-screened for solubility/expression → then send 10–20 hits to ECL for full BLI profiling and funnel. This *complements* ECL rather than competing with it. Additionally, explore a white-label or OEM integration where ECL can offer your services as an 'upstream DNA/protein prep module' to their customers—expanding ECL's addressable market and capturing stickier customer relationships.","ECL is a STRONG warm lead. Scoring rationale: (1) Primary modality is miniprotein/nanobody—textbook fit for E. coli expression + BLI; (2) No in-house DNA synthesis—they depend on external vendors; (3) Partial in-house protein production—they offer expression but as a fixed service, not a contract manufacturing partner; (4) AI-biology teams using ECL fit the early-stage, vendor-flexible profile (Series A/B); (5) Multiple service lines have high fit (clonal DNA, E. coli expression, cell-free, bind","targets/briefs/emerald_cloud_lab.md"
"4","tier2_warm","Engage Bio","mRNA_or_RNA","seed_to_series_A","easy","San Carlos","USA","2021","500000","Seed","500000","2022-03","7","no","no","DNA=medium Ecoli=low CF=medium E2E=high","1000-10000","True","3","Will Olsen (Co-Founder & CEO); Ben Hawley (Chief Technology Officer); Kathryn Strobel Kwant (Co-Founder & Scientific Advisor)","medium","Engage Bio's Tethosome platform requires rapid iteration on therapeutic DNA constructs (therapeutic cargo + mRNA-encoding tethosome protein) and mammalian-expressed protein components. Our clonal DNA service at $50/assembly (half incumbent pricing) directly accelerates your preclinical variant screening cycles. Additionally, if you're exploring monoclonal antibody or enzyme payloads for proof-of-concept (Gates Foundation malaria work, CF therapy), our integrated DNA→ expression→BLI workflow (cell-free or HEK-based) compresses design-to-characterization timelines. Early partnership now supports your preclinical program at seed-stage costs, before larger pharma partners impose vendor consolidation. Let's discuss how we can reduce your wet-lab throughput bottleneck.","Strong fit across 2–3 service lines (clonal DNA, cell-free expression, end-to-end binder workflow). Primary modality is mRNA + genetic medicine (not pure software or small molecule). Company is pre-seed/seed stage (easy outreach). Wet lab intensity is high (in vivo operations, mammalian cell culture). Multiple indications (CF, malaria, oncology) suggest iterative construct design & protein engineering, driving DNA synthesis orders. However: (1) only $500K raised; may have tight budget → cost sen","targets/briefs/engage_bio.md"
"4","tier2_warm","Enzymit","enzyme","seed_to_series_A","easy","Ness Ziona","Israel","2020","15000000","Series A","10000000","2024-09","8","partial","partial","DNA=high Ecoli=high CF=medium E2E=low","1000-10000","False","3","Gideon Lapidoth (CEO & Co-Founder); Dror Baran (COO & Co-Founder); Nelli (Strategy & Business Development)","high","Enzymit's CoSaNN platform generates millions of enzyme variants per cycle. You're likely synthesizing 1,000–10,000+ short gene constructs annually for high-throughput screening. Our clonal DNA service ($50/assembly, 2-3x cheaper than Twist/IDT) and E. coli KRX expression+purification directly integrate with your variant-to-phenotype loop, removing bottlenecks in your computational-to-experimental pipeline. As you scale from pilot (200L HA with Cosun) to manufacturing, we can maintain velocity on enzyme optimization and process development. Let's talk about aligning our DNA synthesis and expression capacity with your 2026 scaling roadmap.","Enzymit is a strong fit on two critical service lines: (1) clonal DNA under 2kb (very high volume, 1,000–10,000+ constructs/year for CoSaNN variant screening), and (2) E. coli KRX expression (high-throughput enzyme expression and characterization). Primary modality is enzyme (biocatalyst) design, not antibody/mammalian expression, which aligns well with bacterial expression offerings. Series A stage = easy procurement and high motivation to outsource non-core functions. Cell-free expression is s","targets/briefs/enzymit.md"
"4","tier1_hot","Epic Bio","AAV_or_gene_therapy","series_B","moderate","South San Francisco","USA","2019","123000000","Series B","68000000","2025-03","12","no","partial","DNA=medium Ecoli=high CF=high E2E=low","100-1000","True","3","Amber Salzman, PhD (CEO); Stanley Qi, PhD (Founder & Scientific Advisor); Dipali Patel, PhD (Process Development Lead)","high","Approach via Amber Salzman (CEO) or Stanley Qi (founder) at upcoming conferences (J.P. Morgan Healthcare, ASGCT, or CRISPR Frontiers). Lead with data: (1) Show case studies of other epigenetic/protein-design teams using E. coli KRX for rapid modulator screening (emphasize cost advantage vs. mammalian expression for discovery phase). (2) Offer bundle deal: clonal DNA (<2 kb short ORFs for modulator variants) + E. coli KRX expression + BLI quantification for affinity screening of lead modulator-target interactions (even though not primary binder workflow, can add value to their kinetic characterization of engineered activators). (3) Highlight scale: position for 100+ constructs/month during active discovery cycles. (4) Timing: Series B just closed; clinical milestone coming early 2026—best engagement window is Q2 2026 post-data release when they may expand screening pipelines for next-gen programs (A1AD, HeFH, cancer indications). Emphasize vendor flexibility and willingness to work with their CDMO and manufacturing partner.","Epic Bio is strong fit on 2 of 4 service lines (E. coli KRX expression: high; cell-free expression: high) with genuine demand for rapid, iterative protein screening and engineering cycles driving DNA synthesis and expression orders. Primary modality (AAV gene therapy) typically requires construct lengths >2 kb, so clonal_dna_under_2kb fit is medium rather than high, but the modulator screening/engineering subworkflow creates steady demand for short ORF constructs. Series B stage + active clinica","targets/briefs/epic_bio.md"
"4","tier2_warm","Etcembly","miniprotein_or_nanobody","seed_to_series_A","easy","Oxford","United Kingdom","2020","15100000","Seed","","2021","8","partial","yes","DNA=high Ecoli=high CF=medium E2E=high","1000-10000","True","5","Ross (Head of Protein Engineering); Rachel Mulvaney (Principal Scientist, Protein Engineering); Zahra Ouaray (Scientific team member (Protein Engineering/Bioinformatics))","high","Position as the preferred partner for Etcembly's design-build-test acceleration as EMLy throughput scales. Lead with: (1) **Clonal DNA cost advantage**: $50/assembly vs. $100+ incumbent vendors saves $50K-$300K annually on growing construct libraries; (2) **E. coli expression throughput**: outsourcing parallelizes variant validation, enabling faster design cycles as DJS/AbbVie and other partnerships expand demand; (3) **End-to-end BLI workflow**: eliminate the characterization bottleneck by offering direct integration of DNA→expression→Gator BLI quantification, reducing time-to-candidate-selection from weeks to days. Frame as enabling 'faster EMLy cycles'—Etcembly has already proven 11-month TCR discovery vs. 2-year industry standard; outsourced synthesis/expression/characterization can compress that further to 6-8 months, differentiating them vs. Immunocore, T-Cypher, etc. Timing: reach out to Ross (Protein Engineering), Rachel Mulvaney (Principal Scientist), and Michelle Teng (CEO) within 90 days of Series A close (if announced) or by Q2 2026 after JPM momentum settles. Emphasize research partnership first (free/discounted pilot on 50-100 constructs for ETC-101 or next-gen program) to build relationship and demonstrate value before asking for budget commitment.","Strong fit on multiple service lines (clonal DNA synthesis, E. coli expression, end-to-end binder workflow). High modality fit (miniprotein/nanobody/TCR ectodomain design with bacterial expression primary pathway). Significant annual construct demand expected (1000-10,000 clonal DNA, 100-1000 expression, 100-1000 BLI characterization based on design throughput). Seed-stage company with easy outreach and minimal procurement friction. Recent commercial partnerships (DJS/AbbVie) validate market tra","targets/briefs/etcembly.md"
"4","tier2_warm","Exonic","other","stealth_or_pre_seed","easy","San Francisco","USA","2025","500000","Pre-seed","500000","2025-11","6","no","no","DNA=high Ecoli=low CF=medium E2E=low","1000-10000","True","2","Ben Brimacombe (CEO and Founder); Mikhail Kulak (Chief Scientific Officer)","medium","Position clonal DNA synthesis as enabling block for Exonic's tournament scale. Highlight: (1) 50% cost advantage vs. Twist/IDT (match your $50/assembly target); (2) rapid turnaround to support quarterly tournament cycles; (3) bulk discounts for 100+ sequences per tournament; (4) potential for direct API integration into Exonic Studio platform (allow users to order synthesis within workflow, mark Exonic as preferred vendor). Emphasize partnership: as Exonic scales tournaments, synthesis volume grows linearly. Offer white-glove onboarding and pilot pricing. Key ask: become default synthesis vendor for Exonic's public and internal tournaments.","HIGH synthesis demand (high volume, short DNA constructs <2 kb per tournament cycle). STRONG AI-biology team profile (CEO with scaling experience, CSO with deep wet-lab + publications). MEDIUM team size but ACTIVELY HIRING wet-lab (signals growth plans). EASY to reach (pre-seed, no procurement friction). PARTIAL fit on synthesis services: clonal DNA is excellent fit; expression/assay services are not immediately needed (they do MPRA in-house). Downgrade from Tier 1 ('hot') to Tier 2 ('warm') bec","targets/briefs/exonic.md"
"4","tier1_hot","FinalDose","other","stealth_or_pre_seed","easy","London","United Kingdom","2025","","Seed","","2026-04","3","unknown","unknown","DNA=high Ecoli=medium CF=low E2E=low","1000-10000","False","3","Li-Yao Huang (CSO); Jeff Liu (CEO); Steven Lin (CTO)","medium","Hi Li-Yao, we noticed FinalDose's focus on rapid construct iteration for DNA-sensing platform discovery. We offer clonal DNA assembly (<2 kb, $50/reaction) 10x faster than IDT/Twist with bulk discounts (100+ constructs/year). Combined with optional E. coli expression for quick protein domain characterization, you can compress variant-screening cycles from weeks to days without hiring. Given your CRISPR screening background, we anticipate 1000+ constructs/year in your discovery phase. We've worked with early-stage cancer biology teams at Seed stage and can flex volumes as you scale. Curious if you'd benefit from a trial batch on your next target variant set.","FinalDose is a strong fit on 1-2 of our four service lines (clonal DNA assembly, possibly E. coli expression for protein domain characterization). They are at optimal company stage (Seed/YC, not entrenched), have proven founders with capital, and operate in high-throughput iterative discovery (perfect for low-cost bulk DNA assembly). The primary modality (DNA-recognition small molecule) is orthogonal to traditional protein-design vendors, reducing competitive noise. Bench headcount (~3 FTE) impl","targets/briefs/finaldose.md"
"4","tier2_warm","Imperagen","enzyme","seed_to_series_A","easy","Manchester","United Kingdom","2021","4500000","Seed","4500000","2022-08","","partial","yes","DNA=high Ecoli=high CF=medium E2E=low","1000-10000","False","2","Andrew Almond (CEO); Timothy Eyes (Co-Founder, Program Management)","medium","Position Gator Clonal DNA synthesis as cost-efficient, high-throughput backbone for Imperagen's enzyme variant library construction. Emphasize scalability to 1000–10000 annual orders at $50/assembly (half incumbent cost). Bundle optional E. coli KRX expression + purification as ad-hoc fallback for expression-difficult variants or batch prototyping. Lead with case study from AI-biology teams running closed-loop protein design. Offer flexible SLA to accommodate iterative research cycles. Target Timothy Eyes (program management) for initial technical conversation; escalate partnership discussion to Andrew Almond (CEO).","Strong fit on clonal_dna_under_2kb (high volume, short constructs for enzyme library design) and ecoli_krx_expression (assumed outsourcing given seed-stage wet-lab constraints). Enzyme modality is core strength. Expression systems align well with our offerings. Early-stage company with no procurement friction. Risk: limited visibility on current synthesis/expression vendors, no public partnerships, and capital constraints may limit near-term outsourcing spend. Warrants outreach but not top-tier ","targets/briefs/imperagen.md"
"4","tier1_hot","Infinimmune","antibody","seed_to_series_A","easy","Alameda","United States","2022","12000000","Seed","12000000","2023-06","5","no","no","DNA=high Ecoli=high CF=medium E2E=high","100-1000","True","2","Wyatt McDonnell (CEO); Tim Sullivan (Chief Business Officer)","medium","Position as integrated discovery acceleration partner: Infinimmune's GLIMPSE-1 model generates nanobody and scFv variants at high throughput; we provide rapid (2–3 day TAT) clonal DNA synthesis at half the cost of IDT/Twist + immediate bacterial expression + BLI characterization, compressing your design-build-test cycle from weeks to days and enabling iterative refinement. Cite our cost structure ($50/assembly for 100+ orders/year) and that AI-first teams are our primary ICP. Offer free pilot on 50 constructs for initial target (e.g., from Grid Therapeutics NSCLC collaboration). Emphasize we scale with them through Series A.","Infinimmune is a strong fit on three of four service lines: clonal DNA (<2 kb constructs, antibody variant discovery), E. coli expression (nanobodies, scFv screening), and end-to-end binder workflow (AI-driven design output → expression → BLI characterization). Primary modality (antibody/nanobody) matches our stack perfectly. Company is pre-Series A (easy outreach), actively hiring, iterating fast on constructs, and explicitly mentions AI-driven design + need for rapid experimental validation. C","targets/briefs/infinimmune.md"
"4","tier2_warm","Ligo Biosciences","enzyme","seed_to_series_A","easy","San Francisco","USA","2024","500000","Seed","","2024-06","8","no","no","DNA=high Ecoli=high CF=high E2E=low","1000-10000","True","3","Edward Harris (CEO); Emily Egerton-Warburton (Chief Scientific Officer); Arda Goreci (Chief Technology Officer)","medium","Ligo's iterative enzyme design workflow demands high-volume short-construct DNA synthesis combined with rapid protein expression—exactly what we deliver at half the cost of incumbent vendors. Your current partnership with Adaptyv Bio is great for validation; our clonal DNA + E. coli KRX service can accelerate your variant screening cycles upstream, letting you focus resources on enzyme characterization. We're built for teams like yours: low-friction vendor engagement, 48-hour turnaround on short constructs, and integrated expression-purification. Let's explore a pilot on your next enzyme design cycle—100 variants, $5K, 2 weeks.","Strong fit on three service lines (clonal DNA, E. coli expression, cell-free). Primary modality (enzyme) aligns perfectly with bacterial/cell-free expression and short iterative construct design. Estimated 1000+ annual DNA orders + 100–1000 expression runs + 100–300 cell-free batches. Early-stage, well-funded (Y Combinator), actively hiring, and easy to reach. Founders have wet lab credibility (CSO from biotech startups, CEO worked in synbio labs). Only downside: no revenue yet, no public custom","targets/briefs/ligo_biosciences.md"
"4","tier2_warm","Modulari-T","miniprotein_or_nanobody","seed_to_series_A","easy","Montreal","Canada","2021","500000","Seed","500000","2023-04","4","no","no","DNA=high Ecoli=high CF=medium E2E=medium","1000-10000","True","2","David Cotnoir-White (CEO & Co-Founder); Stephanie Mok (COO & Co-Founder)","medium","Modulari-T's MARC platform requires rapid iteration on synthetic receptor constructs—thousands of variants per year to test antigen-binding domains, signaling domain combinations, and delivery improvements. Your clonal DNA service at $50/assembly + 50% cost savings vs. Twist enables 2-3x faster design cycles at lower cost, freeing R&D budget for wet lab validation. Our E. coli KRX expression + BLI characterization accelerates your receptor domain optimization from weeks to days, ideal for AI-guided variant screening. As you scale toward Series A and in vivo studies, we grow with you—and we're flexible partners for early-stage teams.","Strong fit on clonal DNA (high volume, high priority, <2 kb constructs) and E. coli expression (domain characterization, iteration speed). Modest fit on cell-free and binder workflow. Primary modality (synthetic immune receptors as minibinder-like antigen-recognition domains) aligns with miniprotein category. No in-house synthesis/expression = zero downgrade. Stage (early Seed) = easy outreach. Team size & hiring signals suggest readiness to outsource construct manufacturing. Only limitation: pr","targets/briefs/modulari_t.md"
